id,unidade_gestora,gestao,numero,data_emissao,credor,fonte_recurso,programa_trabalho,planointerno,naturezadespesa,empenhado,aliquidar,liquidado,pago,rpinscrito,rpaliquidar,rpliquidado,rppago,informacao_complementar,sistema_origem,links_documento_pagamento,credor_obj_tipo,credor_obj_cnpj_cpf_idgener,credor_obj_nome
8351610,113601,11302,2022NE000045,2022-02-01,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,1000000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"19.847,00","0,00","0,00","15.101,28","4.745,72","0,00","0,00","4.745,72",11360107000202019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022022NE000045,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.
7567946,113601,11302,2021NE000075,2021-04-29,03.143.181/0001-01 - CAST INFORMATICA S/A,0100000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"87.608,47","0,00","0,00","0,00","87.608,47","0,00","0,00","87.608,47",11360105000262019,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022021NE000075,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
10162163,113601,11302,2023NE000108,2023-02-17,03.143.181/0001-01 - CAST INFORMATICA S/A,8444000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360105000262019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000108,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
10547181,113601,11302,2023NE000264,2023-05-29,03.143.181/0001-01 - CAST INFORMATICA S/A,1444000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"1.410.959,00","769.946,24","0,00","641.012,76","769.946,24","47.434,42","47.434,42","722.511,82",11360105000262019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000264,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
8661719,113601,11302,2022NE000134,2022-06-01,03.143.181/0001-01 - CAST INFORMATICA S/A,1000000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"1.194.309,02","0,00","0,00","940.820,88","253.488,14","0,00","0,00","253.488,14",11360105000262019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022022NE000134,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
10079241,113601,11302,2023NE000056,2023-01-30,03.143.181/0001-01 - CAST INFORMATICA S/A,8444000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360105000262019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000056,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
10203144,113601,11302,2023NE000172,2023-03-02,03.143.181/0001-01 - CAST INFORMATICA S/A,1000000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"1.629.541,51","0,00","0,00","1.629.541,51","0,00","0,00","0,00","0,00",11360105000262019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000172,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
8636104,113601,11302,2022NE000126,2022-05-24,03.143.181/0001-01 - CAST INFORMATICA S/A,0300000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"693.823,71","0,00","0,00","693.823,71","0,00","0,00","0,00","0,00",11360105000262019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022022NE000126,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
11687431,113601,11302,2024NE000122,2024-02-15,03.143.181/0001-01 - CAST INFORMATICA S/A,1000000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360105000262019 - UASG Minuta: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000122,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
11711668,113601,11302,2024NE000132,2024-02-22,03.143.181/0001-01 - CAST INFORMATICA S/A,1000000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"1.677.488,18","419.167,23","216.227,80","1.042.093,15","0,00","0,00","0,00","0,00",11360105000262019 - UASG Minuta: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000132,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
55725,113601,11302,2019NE800571,,03.143.181/0001-01 - CAST INFORMATICA S/A,0100000000,,100INFBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800571,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
110868,113601,11302,2020NE800240,2020-10-06,03.143.181/0001-01 - CAST INFORMATICA S/A,0144000000,,100INFORMBR - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"52.572,12","52.572,12","0,00","0,00","596.997,36","0,00","0,00","596.997,36",SEM INFORMACAO,SIAFI - SISTEMA INTEGRADO DE ADMINISTRACAO FINANCEIRA,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800240,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
110870,113601,11302,2020NE800241,,03.143.181/0001-01 - CAST INFORMATICA S/A,0144000000,,100INFORMBR - INFORMATICA,339035 - SERVICOS DE CONSULTORIA,"30.000,00","30.000,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800241,JURIDICA,03.143.181/0001-01,CAST INFORMATICA S/A
93590,113601,11302,2020NE800227,,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,0100000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"32.283,04","25.436,84","0,00","6.846,20","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800227,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
11158428,113601,11302,2023NE000351,2023-10-24,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,1444000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"96.591,96","52.776,21","0,00","43.815,75","52.776,21","46.919,15","46.919,15","5.857,06",11360107000232019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000351,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
10162697,113601,11302,2023NE000119,2023-02-17,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"82.120,01","0,00","0,00","82.120,01","0,00","0,00","0,00","0,00",11360107000232019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000119,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
10053985,113601,11302,2023NE000025,2023-01-24,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,1000000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360107000232019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000025,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
11680651,113601,11302,2024NE000116,2024-02-14,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"56.053,87","28.747,28","276,76","27.029,83","0,00","0,00","0,00","0,00",11360107000232019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000116,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
55715,113601,11302,2019NE800497,,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,0100000000,,100ADMINIBS - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800497,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
93590,113601,11302,2020NE800227,,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,0100000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"32.283,04","25.436,84","0,00","6.846,20","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800227,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
7931794,113601,11302,2021NE000145,2021-09-14,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,0100000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"15.348,53","0,00","0,00","1.897,74","13.450,79","0,00","0,00","13.450,79",11360107000232019,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022021NE000145,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
8353866,113601,11302,2022NE000051,2022-02-02,18.090.313/0001-43 - DALA SERVICE AR CONDICIONADO LTDA,1000000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"87.191,02","0,00","2.804,49","84.386,53","0,00","0,00","0,00","2.804,49",11360107000232019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022022NE000051,JURIDICA,18.090.313/0001-43,DALA SERVICE AR CONDICIONADO LTDA
55729,113601,11302,2019NE800589,,00.677.870/0005-23 - DRIVE A INFORMATICA LTDA,0100000000,,100ADMINIBS - ADMINISTRACAO DA UNIDADE,449052 - EQUIPAMENTOS E MATERIAL PERMANENTE,"0,00","0,00","0,00","0,00","512.000,00","0,00","0,00","512.000,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800589,JURIDICA,00.677.870/0005-23,DRIVE A INFORMATICA LTDA
297483,113601,11302,2020NE800255,,00.677.870/0005-23 - DRIVE A INFORMATICA LTDA,0100000000,,100ADMINIBR - UNIDADE,449052 - EQUIPAMENTOS E MATERIAL PERMANENTE,"1.227.999,00","1.227.999,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800255,JURIDICA,00.677.870/0005-23,DRIVE A INFORMATICA LTDA
10087694,113601,11302,2023NE000080,2023-02-02,02.605.452/0001-22 - VIP SERVICE CLUB LOCADORA E SERVICOS LTDA,1000000000,,100ADMINIBR - UNIDADE,339033 - PASSAGENS E DESPESAS COM LOCOMOCAO,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360105000072020 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000080,JURIDICA,02.605.452/0001-22,VIP SERVICE CLUB LOCADORA E SERVICOS LTDA
10167993,113601,11302,2023NE000153,2023-02-23,02.605.452/0001-22 - VIP SERVICE CLUB LOCADORA E SERVICOS LTDA,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339033 - PASSAGENS E DESPESAS COM LOCOMOCAO,"24.429,26","18.305,03","0,00","6.124,23","18.305,03","17.264,35","17.264,35","1.040,68",11360105000072020 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000153,JURIDICA,02.605.452/0001-22,VIP SERVICE CLUB LOCADORA E SERVICOS LTDA
11649441,113601,11302,2024NE000100,2024-02-01,02.605.452/0001-22 - VIP SERVICE CLUB LOCADORA E SERVICOS LTDA,1000000000,,100DIDES - DIDES - DESPESAS ADMINISTATIVAS,339033 - PASSAGENS E DESPESAS COM LOCOMOCAO,"11.684,78","4.469,17","0,00","7.215,61","0,00","0,00","0,00","0,00",20105705000072020 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000100,JURIDICA,02.605.452/0001-22,VIP SERVICE CLUB LOCADORA E SERVICOS LTDA
50473,113601,11302,2020NE800070,,02.605.452/0001-22 - VIP SERVICE CLUB LOCADORA E SERVICOS LTDA,0100000000,,100ADMINIBR - UNIDADE,339033 - PASSAGENS E DESPESAS COM LOCOMOCAO,"20.000,00","19.616,33","0,00","383,67","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800070,JURIDICA,02.605.452/0001-22,VIP SERVICE CLUB LOCADORA E SERVICOS LTDA
7395108,113601,11302,2021NE000054,2021-03-03,02.605.452/0001-22 - VIP SERVICE CLUB LOCADORA E SERVICOS LTDA,0100000000,,100ADMINIBR - UNIDADE,339033 - PASSAGENS E DESPESAS COM LOCOMOCAO,"7.562,80","0,00","0,00","659,87","6.902,93","0,00","0,00","6.902,93",11360105000072020,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022021NE000054,JURIDICA,02.605.452/0001-22,VIP SERVICE CLUB LOCADORA E SERVICOS LTDA
8375940,113601,11302,2022NE000057,2022-02-10,02.605.452/0001-22 - VIP SERVICE CLUB LOCADORA E SERVICOS LTDA,1000000000,,100ADMINIBR - UNIDADE,339033 - PASSAGENS E DESPESAS COM LOCOMOCAO,"8.113,68","0,00","0,00","1.751,72","5.755,04","0,00","0,00","5.755,04",11360105000072020 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022022NE000057,JURIDICA,02.605.452/0001-22,VIP SERVICE CLUB LOCADORA E SERVICOS LTDA
10084615,113601,11302,2023NE000067,2023-02-01,115406 - EMPRESA BRASIL DE COMUNICACAO S.A,1000000000,,100ADMINIBR - UNIDADE,339139 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA (INTRA),"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360107000172019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000067,UG,115406,EMPRESA BRASIL DE COMUNICACAO S.A
10165295,113601,11302,2023NE000124,2023-02-22,115406 - EMPRESA BRASIL DE COMUNICACAO S.A,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339139 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA (INTRA),"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360107000172019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000124,UG,115406,EMPRESA BRASIL DE COMUNICACAO S.A
11743669,113601,11302,2024NE000138,2024-03-05,09.168.704/0001-42 - EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339139 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA (INTRA),"10.000,00","5.677,90","0,00","4.322,10","0,00","0,00","0,00","0,00",11360107000172019 - UASG Minuta: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000138,JURIDICA,09.168.704/0001-42,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC
55702,113601,11302,2019NE800368,,115406 - EMPRESA BRASIL DE COMUNICACAO S.A,0100000000,,100ADMINIBS - ADMINISTRACAO DA UNIDADE,339139 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA (INTRA),"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800368,UG,115406,EMPRESA BRASIL DE COMUNICACAO S.A
8656948,113601,11302,2022NE000131,2022-05-31,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,1000000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"15.091,32","0,00","0,00","0,00","3.797,88","0,00","0,00","3.797,88",11360105000102019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022022NE000131,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
10085845,113601,11302,2023NE000072,2023-02-01,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,1000000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360105000102019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000072,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
7655662,113601,11302,2021NE000089,2021-06-08,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,1000000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"11.743,00","0,00","0,00","1.785,12","10.754,36","0,00","0,00","796,48",11360105000102019,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022021NE000089,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
11121412,113601,11302,2023NE000336,2023-10-16,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,1444000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"15.720,00","12.551,25","0,00","3.168,75","12.551,25","10.871,33","10.871,33","1.679,92",20105705000102019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000336,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
10856371,113601,11302,2023NE000309,2023-08-14,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"1.795,37","0,00","0,00","1.795,37","0,00","0,00","0,00","0,00",20105705000102019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000309,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
55698,113601,11302,2019NE800322,,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,0100000000,,100ADMINIBS - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800322,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
11680859,113601,11302,2024NE000117,2024-02-14,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,1000000000,,100ADMNIBSB - ADMINISTRACAO DA UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"8.646,41","7.507,11","0,00","1.139,30","0,00","0,00","0,00","0,00",20105705000102019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000117,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
71657,113601,11302,2020NE800133,,02.558.157/0001-62 - TELEFONICA BRASIL S.A.,0100000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"10.000,00","7.840,58","0,00","2.159,42","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800133,JURIDICA,02.558.157/0001-62,TELEFONICA BRASIL S.A.
72726,113601,11302,2020NE800136,,04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA,0100000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"194.499,96","0,00","0,00","194.499,96","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800136,JURIDICA,04.198.254/0001-17,MCR SISTEMAS E CONSULTORIA LTDA
297483,113601,11302,2020NE800255,,00.677.870/0005-23 - DRIVE A INFORMATICA LTDA,0100000000,,100ADMINIBR - UNIDADE,449052 - EQUIPAMENTOS E MATERIAL PERMANENTE,"1.227.999,00","1.227.999,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800255,JURIDICA,00.677.870/0005-23,DRIVE A INFORMATICA LTDA
